n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.0,0.0,0.0,0.5773502691896264,1.0000000000000042,0.5000000000000016,0.22962536955588533,1.0,2.455137533259828,0.0,0.0,0.0
1,4.375853332876232,12.001296642084746,1572.6498172809092,1429.0837345608877,2831.2453375334435,1335297.1690569255,0.28730074510196946,1.0,1.5802526922907698,0.0,0.0,0.0
2,8.437295865566853,20.924289355712812,3963.458353306705,2076.5915930775845,3623.749927873111,2367572.3772373227,0.3248317980616417,1.0,1.3347011477030881,0.0,0.0,0.0
3,11.573206478005785,26.293134929159077,6071.837675019825,2546.4927210168607,4131.641090381259,3854135.7869040375,0.3541157708724269,1.0,1.2857760610455051,0.0,0.0,0.0
4,13.461531533609493,28.3703166808259,7321.637189902166,2847.02059458137,4443.563260081196,5372049.39869886,0.37912837360622376,1.0,1.3079078250940328,0.0,0.0,0.0
5,14.139305894480868,28.2804262686661,7652.38329736179,3020.6266942528187,4652.48783438884,6620156.754731142,0.4012932674350666,1.0,1.3360383100247595,0.0,0.0,0.0
6,13.942605048953885,27.139795967265982,7355.851722351061,3127.276837292687,4826.49031611983,7573328.501577884,0.4210680420111294,1.0,1.3456805357057162,0.0,0.0,0.0
7,13.312014666553301,25.71462137853253,6794.920399897341,3209.827147997268,4996.839482964296,8350983.168358263,0.4386570271914144,1.0,1.3336322016314948,0.0,0.0,0.0
8,12.61211742515091,24.400355574183717,6235.185825775312,3288.171699654667,5170.107593524598,9046745.082638985,0.45429060844368996,1.0,1.3054563863350077,0.0,0.0,0.0
9,12.049437235573883,23.3427153929782,5803.348027036703,3367.2278026023237,5341.9930655271155,9702934.57162845,0.4682072726367452,1.0,1.2700297051909766,0.0,0.0,0.0
10,11.68771628685167,22.55443128465485,5523.45458171446,3445.2725438267294,5505.491585226052,10331358.46437961,0.4805890514136125,1.0,1.235391799491483,0.0,0.0,0.0
11,11.504701691824922,21.99806683289003,5369.75943922395,3519.002009717794,5654.749068442134,10929803.591648376,0.4915598612740527,1.0,1.2064071892945958,0.0,0.0,0.0
12,11.44440661844677,21.6314657159672,5302.136289795702,3585.8095399913977,5786.495136579059,11490845.124859689,0.5012188710418969,1.0,1.18469192836176,0.0,0.0,0.0
13,11.450012662079558,21.365772773242192,5283.250080474857,3644.426536837281,5900.073158063468,12006790.056147594,0.5096681392958035,1.0,1.1696807868263603,0.0,0.0,0.0
14,11.47927259706766,21.15870830901195,5285.43108424531,3694.7827855632863,5996.734613329099,12472504.625879105,0.5170220103953115,1.0,1.1598071282062823,0.0,0.0,0.0
15,11.507918045818963,20.983378426640886,5292.047050418623,3737.5913634722233,6078.727837023787,12886529.525475899,0.523403200897303,1.0,1.1533617546846386,0.0,0.0,0.0
16,11.526382539105878,20.825900381449674,5295.676645237816,3773.9223846547443,6148.529687535722,13250783.88345473,0.528933981257057,1.0,1.1489584246150535,0.0,0.0,0.0
17,11.534174771492545,20.68123498827114,5294.873037598124,3804.885458065351,6208.367627635713,13569444.312289856,0.5337282868508066,1.0,1.1456802955536023,0.0,0.0,0.0
18,11.534739841694824,20.54898045872149,5291.020804084844,3831.4514161594084,6260.024974693186,13847670.43492329,0.5378871494468496,1.0,1.143028242977355,0.0,0.0,0.0
19,11.532049337175987,20.430202908604567,5286.132408488199,3854.3910882554164,6304.842103953533,14090631.69715006,0.5414974487881761,1.0,1.1407869266696087,0.0,0.0,0.0
20,11.528982454952088,20.325636194758506,5281.731587481849,3874.2874770912035,6343.812617063522,14302976.351932487,0.5446329017338785,1.0,1.1388898866530304,0.0,0.0,0.0
21,11.526982720442108,20.235043815644037,5278.553920009191,3891.5796122856955,6377.698146515022,14488665.935602348,0.5473560675946428,1.0,1.1373229105894151,0.0,0.0,0.0
22,11.526372522014768,20.16748872478035,5276.68893463656,3906.609660306451,6407.120782466331,14651023.727360355,0.549720476358377,1.0,1.1360723356156428,0.0,0.0,0.0
23,11.526853505079327,20.111329824425773,5275.8635442064815,3919.659453968724,6432.621011727462,14792864.49340401,0.5517724165834039,1.0,1.1351077381323236,0.0,0.0,0.0
24,11.527930083254265,20.0633546724509,5275.69425025155,3930.973243386718,6454.685898175185,14916624.172830492,0.5535522570333828,1.0,1.1343839940320213,0.0,0.0,0.0
25,11.529165333928018,20.022077125548208,5275.843760734826,3940.7691235691946,6473.75809854066,15024455.283568574,0.5550953654879488,1.0,1.1338503411225906,0.0,0.0,0.0
26,11.530281466411184,19.986302984716158,5276.084166092224,3949.2433760300055,6490.23653779254,15118284.442213424,0.5564327531537954,1.0,1.1334590125107036,0.0,0.0,0.0
27,11.531158631726734,19.955135407503853,5276.296830055475,3956.5715341852233,6504.474932959207,15199841.861846171,0.5575915637662854,1.0,1.133170431671737,0.0,0.0,0.0
28,11.531787548005092,19.928226455286243,5276.442483717668,3962.9086569534834,6516.782082277465,15270675.878445677,0.5585954878156135,1.0,1.1329548021661249,0.0,0.0,0.0
29,11.532215154141698,19.907297731878696,5276.525952182189,3968.3900382960946,6527.424465720157,15332162.42271556,0.5594651427652974,1.0,1.1327912151051422,0.0,0.0,0.0
30,11.532503200455821,19.88902746799823,5276.568422834207,3973.1326397339612,6536.63059885623,15385515.0237467,0.5602184321928253,1.0,1.1326656114852605,0.0,0.0,0.0
31,11.532704931677658,19.873115305240677,5276.5909786027505,3977.237059803413,6544.596146299886,15431797.220674299,0.5608708823436196,1.0,1.132568609934009,0.0,0.0,0.0
32,11.532856804876586,19.859286917166465,5276.607812089159,3980.7897100568644,6551.488948108405,15471937.030472856,0.5614359502965932,1.0,1.1324937447523398,0.0,0.0,0.0
33,11.53297940173468,19.84728825808581,5276.625596332689,3983.8649137601383,6557.453457673233,15506742.243854666,0.5619252992376741,1.0,1.132436275145511,0.0,0.0,0.0
34,11.533082190615955,19.836886300232997,5276.645654372332,3986.5267594133365,6562.614415330762,15536915.321763314,0.5623490395451446,1.0,1.132392497520356,0.0,0.0,0.0
35,11.533168611932217,19.82787127768273,5276.66663526585,3988.830651935271,6567.079797535992,15563067.060877584,0.5627159373263121,1.0,1.132359404010428,0.0,0.0,0.0
36,11.533239824653736,19.820057896170848,5276.686555192929,3990.8245783085213,6570.943180441194,15585728.652071837,0.5630335938450385,1.0,1.1323345325649328,0.0,0.0,0.0
37,11.533296777862454,19.81328481184381,5276.703908465425,3992.5501388427924,6574.285671865601,15605362.102184035,0.5633085999193259,1.0,1.132315897172245,0.0,0.0,0.0
38,11.533340959781514,19.807412701658027,5276.7180116417585,3994.0434007474146,6577.177537169155,15622369.183423663,0.5635466691988361,1.0,1.1323019362189801,0.0,0.0,0.0
39,11.533374375155184,19.802321592236048,5276.728893641841,3995.335620984302,6579.679603794512,15637099.141997144,0.5637527536640716,1.0,1.1322914550094574,0.0,0.0,0.0
40,11.533399223235422,19.79790805385624,5276.737013509254,3996.453871136611,6581.844494049701,15649855.386908846,0.5639311440335831,1.0,1.132283560532924,0.0,0.0,0.0
