n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.0,0.0,0.0,1.154700538379255,1.0000000000000462,1.9999999999999778,0.33799204701902835,1.0,18.287089203542937,0.0,0.0,0.0
1,0.0018284592012214568,0.011973286560376793,0.0008723826406474018,50.94448692288775,152.1172720658018,688246.0060063428,0.42094910969388594,1.0,11.637456757695803,0.0,0.0,0.0
2,0.0028568824085083914,0.01408486235512393,0.0010339122128821265,80.64479207755322,210.22139864014662,649806.6086194965,0.4748925881583938,1.0,9.184000044154581,0.0,0.0,0.0
3,0.003670627954051197,0.015083998974989665,0.0011653255446010882,109.1512876369686,257.64768628059295,759265.5696818829,0.515447692603769,1.0,7.8236403373131775,0.0,0.0,0.0
4,0.004363976610658369,0.015684068544630746,0.0012586511517486568,135.72049193079195,298.0720572629643,868611.6935142461,0.5483589175236668,1.0,6.930128783718781,0.0,0.0,0.0
5,0.004979328676273733,0.016178874158059367,0.0013355960372553296,160.7765949218319,333.7841958569063,969323.0614222522,0.5762909133348031,1.0,6.286018909857872,0.0,0.0,0.0
6,0.005537983963944596,0.016492996053302473,0.0014051604839271546,184.64743749671769,366.0946621592483,1062004.5847643567,0.6006981786243076,1.0,5.793439734586765,0.0,0.0,0.0
7,0.006051881304880806,0.016756970561587054,0.001471821476875236,207.55934715493575,395.8098936074665,1147975.211843672,0.6224653784816305,1.0,5.401011775186903,0.0,0.0,0.0
8,0.006528145545943383,0.017038269189748448,0.0015379641040356529,229.67199026451158,423.46226362057104,1228373.4306357368,0.6421729637932608,1.0,5.078839376259458,0.0,0.0,0.0
9,0.006971239510327671,0.017226140556880248,0.001604808720125912,251.10145822011296,449.4228987123405,1304093.8559112647,0.6602236518339032,1.0,4.808191718650499,0.0,0.0,0.0
10,0.0073841182830797865,0.017432336268010714,0.0016728558692783013,271.9342176115175,473.96142792761526,1375832.997335573,0.6769090576321956,1.0,4.576658840261381,0.0,0.0,0.0
11,0.007768896691986501,0.01760479192821534,0.0017421405276081352,292.23574930889384,497.28004339700493,1444138.520048783,0.6924475964300968,1.0,4.375651356217066,0.0,0.0,0.0
12,0.00812724937247786,0.01774417786514461,0.0018124009776356142,312.0561440552108,519.5341664589286,1509447.3145710086,0.7070073812773283,1.0,4.199012031705228,0.0,0.0,0.0
13,0.008460650360745831,0.0178824713221363,0.0018832030671156294,331.4339044609781,540.8456591581046,1572113.0651420886,0.7207207422259262,1.0,4.042198545638185,0.0,0.0,0.0
14,0.008770510792211077,0.01798828476182492,0.001954035310622669,350.3986481761138,561.311648850013,1632426.0148009716,0.7336938069744168,1.0,3.901778982001242,0.0,0.0,0.0
15,0.009058250361748867,0.018071216666575938,0.002024380582431042,368.9731077616807,581.0106433902874,1690627.235313519,0.7460130375886255,1.0,3.7751077044274477,0.0,0.0,0.0
16,0.009325326079985215,0.018140183479314693,0.002093767110882528,387.17465865825847,600.0069002829263,1746919.0632100662,0.7577498195993184,1.0,3.66010991296943,0.0,0.0,0.0
17,0.009573234592626071,0.01821057337833573,0.0021618011474608505,405.0165148051505,618.3536274652662,1801472.8465222504,0.768963764789407,1.0,3.5551341617904333,0.0,0.0,0.0
