n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.0704330991249552,1.0000000000000009,35.51575368084266,0.004613427137240677,0.278811315719324,0.06576363853903489,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07143275417857305,1.0000000000000007,32.18449022063122,0.0033271173327389836,0.01840117738081629,0.0002615539737621583,0.0,0.0,0.0,0.0,0.0,0.0
2,0.07239963022881572,1.0000000000000009,29.897574989341365,0.0027331463456690412,0.05576008452962504,0.0017236369375804232,0.0,0.0,0.0,0.0,0.0,0.0
3,0.07340904559465644,1.0000000000000013,28.18117876765159,0.0025079357937671178,0.06339261582804893,0.0025093771660749647,0.0,0.0,0.0,0.0,0.0,0.0
4,0.07444459158158291,1.000000000000001,26.840377617664863,0.002378131966768411,0.06396819230365516,0.002831961380259548,0.0,0.0,0.0,0.0,0.0,0.0
5,0.07548303655411379,1.0000000000000009,25.76556131074715,0.0022855056938628606,0.06294408334158079,0.0031198715132733914,0.0,0.0,0.0,0.0,0.0,0.0
6,0.07650694423965025,1.0000000000000009,24.887995921416294,0.0022188026802940895,0.0617406262544509,0.0035221885629639323,0.0,0.0,0.0,0.0,0.0,0.0
7,0.07750481181117022,1.0000000000000009,24.161900594671362,0.0021764848972774175,0.06070623228252579,0.004097508234260142,0.0,0.0,0.0,0.0,0.0,0.0
8,0.07846914009377567,1.0000000000000009,23.555095324563062,0.0021593041902995113,0.06987985931324596,0.004874778702059484,0.0,0.0,0.0,0.0,0.0,0.0
9,0.07939448472821459,1.0000000000000009,23.043646289185258,0.002167924658962319,0.08074361574288258,0.005864897080578132,0.0,0.0,0.0,0.0,0.0,0.0
10,0.08027628198218843,1.0000000000000007,22.608662943191742,0.0022020341404861243,0.09189997314938649,0.0070624884921371926,0.0,0.0,0.0,0.0,0.0,0.0
11,0.08111021879219416,1.000000000000001,22.235006141821643,0.002259099963722015,0.10302366010161734,0.008441514258612778,0.0,0.0,0.0,0.0,0.0,0.0
12,0.08189237758708495,1.0000000000000009,21.911072000674842,0.00233499352824439,0.11382242910421934,0.009965261729506016,0.0,0.0,0.0,0.0,0.0,0.0
13,0.08262001813655319,1.0000000000000013,21.6285049357004,0.002424203622764857,0.12398072827450557,0.011581161692712696,0.0,0.0,0.0,0.0,0.0,0.0
14,0.08329230873509152,1.0000000000000009,21.38186404377704,0.0025202362032224184,0.13317626267331448,0.013214751223400649,0.0,0.0,0.0,0.0,0.0,0.0
