n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.0,0.0,0.0,0.5773502691896264,1.0000000000000042,0.5000000000000016,0.1676959664458925,1.0,5.137376888558841,0.0,0.0,0.0
1,77.10389161347032,284.97567014520575,3389028.2864867733,111860.23782070877,209159.8400943164,35336375436.20252,0.2248087664520063,1.0,5.41338053344843,0.0,0.0,0.0
2,145.89983253592393,763.371896221502,9727443.41435786,171254.38056146356,218617.54701547825,118039637317.71869,0.2502635464025605,1.0,5.126413472440419,0.0,0.0,0.0
3,151.76728080804457,456.8146666856632,4399925.063028242,235527.8406312291,309416.78981492424,53015361773.48143,0.26270150478720666,1.0,5.642825441019574,0.0,0.0,0.0
4,127.68705756888843,377.7887831243285,4219627.113625861,203870.78752517418,274750.0890698668,55509264972.47311,0.28642974471004057,1.0,6.5531118132526,0.0,0.0,0.0
5,99.03567700456135,340.7203384284688,4514635.237829546,186579.98967687204,264458.7137989856,81061634698.5188,0.3218975586318864,1.0,8.505586438016183,0.0,0.0,0.0
6,117.91630943571069,760.5968418408622,8808094.483114919,194156.1554888034,311926.4021472058,244587337178.5033,0.3349377721730567,1.0,6.731484406177622,0.0,0.0,0.0
7,104.7674414231628,389.04557580979974,5783327.127149544,237735.84591429328,363040.74120680266,186199207723.06577,0.3610252194926296,1.0,4.322883412868914,0.0,0.0,0.0
8,131.5715799469436,405.8860387454206,5459810.7753489325,281752.9576051421,377682.1482836441,115082424869.28159,0.3818756079678564,1.0,4.346666231366292,0.0,0.0,0.0
9,119.5530076585207,365.5129032287171,4584432.140867075,282168.755237004,389608.323114272,107056093303.2785,0.39957910699131344,1.0,4.866016271468307,0.0,0.0,0.0
10,97.9367043113818,345.66184044170643,4571486.608071362,266353.5738808592,396074.29084696714,121748349048.49442,0.415217217960919,1.0,4.583206348959395,0.0,0.0,0.0
11,83.62984260218988,335.97354541759995,4025903.237488604,270983.37788269477,404430.95166465524,110359482551.93423,0.42981343781486686,1.0,4.37607202477546,0.0,0.0,0.0
12,90.66493471430455,314.03420167707714,4103742.0971187823,292610.9550640376,428610.2994266838,120641947390.78438,0.44577052790885463,1.0,4.08304605133696,0.0,0.0,0.0
13,108.40592725750264,351.76327180696177,4393238.712996493,315160.92902313505,454287.8978427169,135606814881.87624,0.45756028314230063,1.0,4.427678965581594,0.0,0.0,0.0
14,97.25240936151795,280.5090226786637,3752137.1592843398,315942.7228747935,468385.27465072146,135094553019.31345,0.46833334729644605,1.0,5.590270998151485,0.0,0.0,0.0
15,83.60787218438556,345.5930824471432,4649934.658747435,304762.18090153736,464450.3503403986,179133642684.26932,0.47734907241737423,1.0,5.600995023225066,0.0,0.0,0.0
16,83.56959800933114,289.36617912898544,4581842.457357255,315951.7308950662,482357.57404935133,227203555283.6068,0.48385431158266684,1.0,4.476099426858376,0.0,0.0,0.0
