n,||u||_2,||u||_inf,E(u),||p||_2,||p||_inf,E(p),||T||_2,||T||_inf,E(T),||S||_2,||S||_inf,E(S)
0,0.07305131423933371,1.0,28.5038221599167,0.006058113477700893,0.03993514666073346,0.0006311715560820278,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07965084310605568,1.0,22.217979841407974,0.011372639312501143,0.12760915635718115,0.004431693567172074,0.0,0.0,0.0,0.0,0.0,0.0
2,0.08574091727983081,1.0,19.100568763325903,0.00967718556592321,0.14601986890304144,0.006349821684108206,0.0,0.0,0.0,0.0,0.0,0.0
3,0.09101283751049827,1.0,17.279443320699485,0.008515317061611176,0.1710978820932174,0.010112038167334442,0.0,0.0,0.0,0.0,0.0,0.0
4,0.09560145249185724,1.0,16.111379007822997,0.0077276527904407,0.2037355410740341,0.016273646636259128,0.0,0.0,0.0,0.0,0.0,0.0
5,0.09964896522756181,1.0,15.341579582334457,0.007253058073774909,0.24090578240604424,0.02469848748839472,0.0,0.0,0.0,0.0,0.0,0.0
6,0.10322760141976482,1.0,14.834914798726016,0.007070627762580807,0.27714019602352946,0.034016230080045604,0.0,0.0,0.0,0.0,0.0,0.0
7,0.10637875486557569,1.0,14.49263995583829,0.007112513445274956,0.30809358892820105,0.0425221834914464,0.0,0.0,0.0,0.0,0.0,0.0
8,0.10916809633411902,1.0,14.250189555613783,0.007283616951156716,0.3322342535732469,0.04921861783350774,0.0,0.0,0.0,0.0,0.0,0.0
9,0.11168493558660299,1.0,14.080323729846349,0.007537155304590602,0.3504085427430373,0.05429737403405588,0.0,0.0,0.0,0.0,0.0,0.0
10,0.11400726278906276,1.0,13.975958745623341,0.007872484132373174,0.3646086856113975,0.058526404192369846,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1161744756111833,1.0,13.929957923380668,0.008280033093808259,0.3765802646540088,0.0623645314867117,0.0,0.0,0.0,0.0,0.0,0.0
12,0.11818209019294475,1.0,13.92427972084731,0.008728949759515436,0.38724810782930563,0.06593185825781467,0.0,0.0,0.0,0.0,0.0,0.0
13,0.12001066979227018,1.0,13.934333770867461,0.009187283932723365,0.39685862172266245,0.06931407569844591,0.0,0.0,0.0,0.0,0.0,0.0
14,0.12166748176838155,1.0,13.944198365245303,0.00963398065951684,0.40537710628365503,0.07243188075480642,0.0,0.0,0.0,0.0,0.0,0.0
15,0.12319100540551996,1.0,13.953816900157163,0.010061794667838207,0.41282117059381845,0.0750558262761006,0.0,0.0,0.0,0.0,0.0,0.0
16,0.12461671238308317,1.0,13.970391671759081,0.010470817535836478,0.4192423117707678,0.0770524599554234,0.0,0.0,0.0,0.0,0.0,0.0
17,0.12595386906761544,1.0,13.99538400623957,0.010858792902136845,0.4247024789485768,0.07854697606747266,0.0,0.0,0.0,0.0,0.0,0.0
18,0.12719973109773644,1.0,14.023047994901567,0.011219343547071011,0.4292377887578597,0.07971318381182832,0.0,0.0,0.0,0.0,0.0,0.0
19,0.12836120050866756,1.0,14.048585597818228,0.011549181599553102,0.4329040540517918,0.08060584956173286,0.0,0.0,0.0,0.0,0.0,0.0
20,0.12945423084647442,1.0,14.071873153723741,0.011851317573347236,0.4358137179421248,0.08125044587551854,0.0,0.0,0.0,0.0,0.0,0.0
21,0.13049249220080758,1.0,14.0943732319013,0.012130448814174306,0.4381163922817484,0.08171705853272626,0.0,0.0,0.0,0.0,0.0,0.0
22,0.13148532287332557,1.0,14.116423710577127,0.012389380434127606,0.43995348782674326,0.08206755337447738,0.0,0.0,0.0,0.0,0.0,0.0
